App.,Taxon,Term,Unit,Country,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
I,Balaena mysticetus,bones,,CA,,1,,,,,,,,,
I,Balaena mysticetus,bones,,MC,,,,,,,,,1,,
I,Balaena mysticetus,bones,,PA,,,,,,,1,,,,
I,Balaena mysticetus,carvings,,AT,1,,,,,,,,,,
I,Balaena mysticetus,jewellery,,US,,,1,,,,,,,,
I,Balaena mysticetus,meat,g,DK,,,,,,,,2000,,,
I,Balaena mysticetus,meat,kg,DK,,,,,,,,1,,,
I,Balaena mysticetus,skeletons,Number of specimens,CN,,,,,,,,,2,,
I,Balaena mysticetus,skeletons,,CN,,,,,,,,,2,,
I,Balaena mysticetus,skin pieces,,US,,,1,,,,,,,,
I,Balaena mysticetus,specimens,g,CA,710,721.79,,,,,,,,,
I,Balaena mysticetus,specimens,g,DK,,,,,,,,,50,,
I,Balaena mysticetus,specimens,g,NO,500,,,,,,,,,,
I,Balaena mysticetus,specimens,kg,DK,,,4,,,,,,,,
I,Balaena mysticetus,specimens,kg,NO,,,,,,1,,,,,
I,Balaena mysticetus,specimens,Number of specimens,DK,,,,,,10,1,,72,,
I,Balaena mysticetus,specimens,Number of specimens,NO,,,,,,,,13,,,
I,Balaena mysticetus,specimens,Number of specimens,US,,,,,71,28,,,,,
I,Balaena mysticetus,specimens,,CA,,6,,,,,,,,,
I,Balaena mysticetus,specimens,,DK,,,2485,,,,,,,,
I,Balaena mysticetus,specimens,,NL,1438,,,,,,,,,,
I,Balaena mysticetus,specimens,,RU,20,,,,,,,,,,
I,Balaenoptera acutorostrata,baleen,kg,GB,,,,,,,,,0.207,,
I,Balaenoptera acutorostrata,baleen,Number of specimens,ES,,,,,,,,62,,,
I,Balaenoptera acutorostrata,bodies,Number of specimens,CN,,,,,,1,,,,,
I,Balaenoptera acutorostrata,bones,g,JP,,,,278.13,,,,,,,
I,Balaenoptera acutorostrata,bones,Number of specimens,IL,,,,,1,,,,,,
I,Balaenoptera acutorostrata,bones,Number of specimens,US,,,,,,,,5,,,
I,Balaenoptera acutorostrata,bones,,GB,21,,,,,,,,,,
I,Balaenoptera acutorostrata,meat,kg,FO,864,864,432,864,900,,,432,432,,
I,Balaenoptera acutorostrata,meat,kg,IS,,,4308,3000,1224,,1823,1882,,,
I,Balaenoptera acutorostrata,meat,kg,JP,199000,214765,148267,200182,415260,214760,350679,371210,502689,,
I,Balaenoptera acutorostrata,meat,kg,SJ,,,,,,6006,1661.38,1155,305,,
I,Balaenoptera acutorostrata,meat,,US,1,,,,,,,,,,
I,Balaenoptera acutorostrata,skeletons,Number of specimens,CN,,,,,,,1,,,,
I,Balaenoptera acutorostrata,skeletons,Number of specimens,GB,,,,,,1,,,,,
I,Balaenoptera acutorostrata,skulls,,US,,,,1,,,,,,,
I,Balaenoptera acutorostrata,specimens,g,DK,,,100,,,,,,,,
I,Balaenoptera acutorostrata,specimens,g,JP,,,408.46,130.33,,,,,,,
I,Balaenoptera acutorostrata,specimens,g,SE,,10,,,,,,,,,
I,Balaenoptera acutorostrata,specimens,g,US,,,,2,,,,,,,
I,Balaenoptera acutorostrata,specimens,Number of specimens,CA,,,,,,,217,,,,
I,Balaenoptera acutorostrata,specimens,Number of specimens,ES,,,70,,,,,,,,
I,Balaenoptera acutorostrata,specimens,Number of specimens,NL,,,,,19,,,,,,
I,Balaenoptera acutorostrata,specimens,Number of specimens,US,,,,1,,,10,5,2,,
I,Balaenoptera acutorostrata,specimens,,CN,,24,,,,,,,,,
I,Balaenoptera acutorostrata,specimens,,DE,,232,,,,,,,,,
I,Balaenoptera acutorostrata,specimens,,ES,,40,20,,,,,,,,
I,Balaenoptera acutorostrata,specimens,,GB,,,38,,,,,,,,
I,Balaenoptera acutorostrata,specimens,,KR,26,,,,,,,,,,
I,Balaenoptera acutorostrata,specimens,,NL,77,,,,,,,,,,
I,Balaenoptera acutorostrata,specimens,,US,1,1,1,3,,,,,,,
I,Balaenoptera bonaerensis,baleen,Number of specimens,GB,,,,,1,,,,,,
I,Balaenoptera bonaerensis,baleen,,US,1,,,,,,,,,,
I,Balaenoptera bonaerensis,bone pieces,kg,GB,,,,,0.4,,,,,,
I,Balaenoptera bonaerensis,bones,g,JP,,,,25.05,,,,,,,
I,Balaenoptera bonaerensis,bones,kg,GB,,,,,0.26,,,,,,
I,Balaenoptera bonaerensis,plates,Number of specimens,GB,,,,,1,,,,,,
I,Balaenoptera bonaerensis,skin pieces,kg,GB,,,,,0.009,,,,,,
I,Balaenoptera bonaerensis,skin pieces,Number of specimens,GB,,,,,2,,,,,,
I,Balaenoptera bonaerensis,skins,g,US,5,10,,,,,,,,,
I,Balaenoptera bonaerensis,specimens,g,JP,,,29.57,4.52,,,,,,,
I,Balaenoptera bonaerensis,specimens,g,US,,,,18,12,5,4,,9,,
I,Balaenoptera bonaerensis,specimens,kg,GB,,,,,0.125,,,,,,
I,Balaenoptera bonaerensis,specimens,kg,US,,,0.024,,,,,,,,
